+----------------------+--------------------------------------------------------------------------------------------------------------------------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
| КодУнивера           | НаименованиеУнивера                                                                                                            | КолСтуд1Курса             | КолСтуд2Курса             | КолСтуд3Курса             | КолСтуд4Курса             | КолСтуд5Курса             |
+----------------------+--------------------------------------------------------------------------------------------------------------------------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
|                    1 | Академия Министерства внутренних дел Республики Беларусь- белор....                                                            |                      NULL |                      NULL |                      NULL |                       236 |                       224 |
|                    2 | Академия управления при Президенте Республики Беларусь - белор. ...                                                            |                      NULL |                      NULL |                      NULL |                       233 |                       217 |
|                    3 | Барановичский государственный университет - белор. Баранавіцкі д...                                                            |                      NULL |                      NULL |                      NULL |                       229 |                       213 |
|                    4 | Белорусская государственная сельскохозяйственная академия - бело...                                                            |                      NULL |                      NULL |                      NULL |                       226 |                       227 |
|                    5 | Белорусский государственный аграрный технический университет - б...                                                            |                      NULL |                      NULL |                      NULL |                       233 |                       230 |
|                    6 | Белорусская государственная академия авиации- белор. Беларуская ...                                                            |                      NULL |                      NULL |                      NULL |                       229 |                       260 |
|                    7 | Белорусская государственная академия искусств - белор. Беларуска...                                                            |                      NULL |                      NULL |                      NULL |                       272 |                       221 |
|                    8 | Белорусская государственная академия музыки- белор. Беларуская д...                                                            |                      NULL |                      NULL |                      NULL |                       249 |                       261 |
|                    9 | Белорусская государственная академия связи - белор. Беларуская д...                                                            |                      NULL |                      NULL |                      NULL |                       249 |                       225 |
|                   10 | Белорусский государственный медицинский университет - белор. Бел...                                                            |                      NULL |                      NULL |                      NULL |                       214 |                       240 |
|                   11 | Белорусский государственный педагогический университет имени Мак...                                                            |                      NULL |                      NULL |                      NULL |                       242 |                       205 |
|                   12 | Белорусский государственный технологический университет - белор....                                                            |                      NULL |                      NULL |                      NULL |                       226 |                       219 |
|                   13 | Белорусский государственный университет - белор. Беларускі дзярж...                                                            |                      NULL |                      NULL |                      NULL |                       259 |                       236 |
|                   14 | Белорусский государственный университет информатики и радиоэлект...                                                            |                      NULL |                      NULL |                      NULL |                       257 |                       240 |
|                   15 | Белорусский государственный университет культуры и искусств - бе...                                                            |                      NULL |                      NULL |                      NULL |                       228 |                       228 |
|                   16 | Белорусский государственный университет пищевых и химических тех...                                                            |                      NULL |                      NULL |                      NULL |                       235 |                       262 |
|                   17 | Белорусский государственный университет транспорта - белор. Бела...                                                            |                      NULL |                      NULL |                      NULL |                       263 |                       254 |
|                   18 | Белорусский государственный университет физической культуры - бе...                                                            |                      NULL |                      NULL |                      NULL |                       219 |                       221 |
|                   19 | Белорусский государственный экономический университет - белор. Б...                                                            |                      NULL |                      NULL |                      NULL |                       228 |                       247 |
|                   20 | Белорусский национальный технический университет - белор. Белару...                                                            |                      NULL |                      NULL |                      NULL |                       234 |                       227 |
|                   21 | Белорусско-Российский университет - белор. Беларуска-Расійскі ўн...                                                            |                      NULL |                      NULL |                      NULL |                       257 |                       215 |
|                   22 | Брестский государственный технический университет - белор. Брэсц...                                                            |                      NULL |                      NULL |                      NULL |                       225 |                       240 |
|                   23 | Брестский государственный университет имени А. С. Пушкина - бело...                                                            |                      NULL |                      NULL |                      NULL |                       237 |                       224 |
|                   24 | Витебская государственная академия ветеринарной медицины - белор...                                                            |                      NULL |                      NULL |                      NULL |                       212 |                       254 |
|                   25 | Витебский государственный ордена Дружбы народов медицинский унив...                                                            |                      NULL |                      NULL |                      NULL |                       225 |                       263 |
|                   26 | Витебский государственный технологический университет - белор. В...                                                            |                      NULL |                      NULL |                      NULL |                       253 |                       217 |
|                   27 | Витебский государственный университет имени П. М. Машерова - бел...                                                            |                      NULL |                      NULL |                      NULL |                       267 |                       210 |
|                   28 | Военная академия Республики Беларусь - белор. Ваенная акадэмія Р...                                                            |                      NULL |                      NULL |                      NULL |                       228 |                       229 |
|                   29 | Гомельский государственный медицинский университет - белор. Гоме...                                                            |                      NULL |                      NULL |                      NULL |                       229 |                       205 |
|                   30 | Гомельский государственный технический университет имени П. О. С...                                                            |                      NULL |                      NULL |                      NULL |                       252 |                       215 |
|                   31 | Гомельский государственный университет имени Франциска Скорины -...                                                            |                      NULL |                      NULL |                      NULL |                       221 |                       246 |
|                   32 | Гродненский государственный аграрный университет - белор. Гродзе...                                                            |                      NULL |                      NULL |                      NULL |                       220 |                       230 |
|                   33 | Гродненский государственный медицинский университет - белор. Гро...                                                            |                      NULL |                      NULL |                      NULL |                       253 |                       247 |
|                   34 | Гродненский государственный университет имени Янки Купалы - бело...                                                            |                      NULL |                      NULL |                      NULL |                       262 |                       262 |
|                   35 | Институт пограничной службы Республики Беларусь - белор. Iнстыту...                                                            |                      NULL |                      NULL |                      NULL |                       277 |                       246 |
|                   36 | Минский государственный лингвистический университет - белор. Мін...                                                            |                      NULL |                      NULL |                      NULL |                       234 |                       261 |
|                   37 | Могилёвский государственный университет имени А. А. Кулешова - б...                                                            |                      NULL |                      NULL |                      NULL |                       211 |                       215 |
|                   38 | Могилёвский институт Министерства внутренних дел Республики Бела...                                                            |                      NULL |                      NULL |                      NULL |                       267 |                       249 |
|                   39 | Мозырский государственный педагогический университет имени И. П....                                                            |                      NULL |                      NULL |                      NULL |                       226 |                       264 |
|                   40 | Полесский государственный университет - белор. Палескі дзяржаўны...                                                            |                      NULL |                      NULL |                      NULL |                       238 |                       254 |
|                   41 | Полоцкий государственный университет - белор. Полацкі дзяржаўны ...                                                            |                      NULL |                      NULL |                      NULL |                       248 |                       250 |
