+----------------------+--------------------------------------------------------------------------------------------------------------------------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
| КодУнивера           | НаименованиеУнивера                                                                                                            | КолСтуд1Курса             | КолСтуд2Курса             | КолСтуд3Курса             | КолСтуд4Курса             | КолСтуд5Курса             |
+----------------------+--------------------------------------------------------------------------------------------------------------------------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
|                    1 | Академия Министерства внутренних дел Республики Беларусь- белор....                                                            |                      NULL |                      NULL |                       236 |                       224 |                       246 |
|                    2 | Академия управления при Президенте Республики Беларусь - белор. ...                                                            |                      NULL |                      NULL |                       233 |                       217 |                       257 |
|                    3 | Барановичский государственный университет - белор. Баранавіцкі д...                                                            |                      NULL |                      NULL |                       229 |                       213 |                       265 |
|                    4 | Белорусская государственная сельскохозяйственная академия - бело...                                                            |                      NULL |                      NULL |                       226 |                       227 |                       241 |
|                    5 | Белорусский государственный аграрный технический университет - б...                                                            |                      NULL |                      NULL |                       233 |                       230 |                       262 |
|                    6 | Белорусская государственная академия авиации- белор. Беларуская ...                                                            |                      NULL |                      NULL |                       229 |                       260 |                       257 |
|                    7 | Белорусская государственная академия искусств - белор. Беларуска...                                                            |                      NULL |                      NULL |                       272 |                       221 |                       235 |
|                    8 | Белорусская государственная академия музыки- белор. Беларуская д...                                                            |                      NULL |                      NULL |                       249 |                       261 |                       223 |
|                    9 | Белорусская государственная академия связи - белор. Беларуская д...                                                            |                      NULL |                      NULL |                       249 |                       225 |                       269 |
|                   10 | Белорусский государственный медицинский университет - белор. Бел...                                                            |                      NULL |                      NULL |                       214 |                       240 |                       232 |
|                   11 | Белорусский государственный педагогический университет имени Мак...                                                            |                      NULL |                      NULL |                       242 |                       205 |                       251 |
|                   12 | Белорусский государственный технологический университет - белор....                                                            |                      NULL |                      NULL |                       226 |                       219 |                       237 |
|                   13 | Белорусский государственный университет - белор. Беларускі дзярж...                                                            |                      NULL |                      NULL |                       259 |                       236 |                       242 |
|                   14 | Белорусский государственный университет информатики и радиоэлект...                                                            |                      NULL |                      NULL |                       257 |                       240 |                       267 |
|                   15 | Белорусский государственный университет культуры и искусств - бе...                                                            |                      NULL |                      NULL |                       228 |                       228 |                       255 |
|                   16 | Белорусский государственный университет пищевых и химических тех...                                                            |                      NULL |                      NULL |                       235 |                       262 |                       237 |
|                   17 | Белорусский государственный университет транспорта - белор. Бела...                                                            |                      NULL |                      NULL |                       263 |                       254 |                       251 |
|                   18 | Белорусский государственный университет физической культуры - бе...                                                            |                      NULL |                      NULL |                       219 |                       221 |                       258 |
|                   19 | Белорусский государственный экономический университет - белор. Б...                                                            |                      NULL |                      NULL |                       228 |                       247 |                       232 |
|                   20 | Белорусский национальный технический университет - белор. Белару...                                                            |                      NULL |                      NULL |                       234 |                       227 |                       226 |
|                   21 | Белорусско-Российский университет - белор. Беларуска-Расійскі ўн...                                                            |                      NULL |                      NULL |                       257 |                       215 |                       245 |
|                   22 | Брестский государственный технический университет - белор. Брэсц...                                                            |                      NULL |                      NULL |                       225 |                       240 |                       252 |
|                   23 | Брестский государственный университет имени А. С. Пушкина - бело...                                                            |                      NULL |                      NULL |                       237 |                       224 |                       255 |
|                   24 | Витебская государственная академия ветеринарной медицины - белор...                                                            |                      NULL |                      NULL |                       212 |                       254 |                       240 |
|                   25 | Витебский государственный ордена Дружбы народов медицинский унив...                                                            |                      NULL |                      NULL |                       225 |                       263 |                       273 |
|                   26 | Витебский государственный технологический университет - белор. В...                                                            |                      NULL |                      NULL |                       253 |                       217 |                       227 |
|                   27 | Витебский государственный университет имени П. М. Машерова - бел...                                                            |                      NULL |                      NULL |                       267 |                       210 |                       246 |
|                   28 | Военная академия Республики Беларусь - белор. Ваенная акадэмія Р...                                                            |                      NULL |                      NULL |                       228 |                       229 |                       271 |
|                   29 | Гомельский государственный медицинский университет - белор. Гоме...                                                            |                      NULL |                      NULL |                       229 |                       205 |                       253 |
|                   30 | Гомельский государственный технический университет имени П. О. С...                                                            |                      NULL |                      NULL |                       252 |                       215 |                       222 |
|                   31 | Гомельский государственный университет имени Франциска Скорины -...                                                            |                      NULL |                      NULL |                       221 |                       246 |                       274 |
|                   32 | Гродненский государственный аграрный университет - белор. Гродзе...                                                            |                      NULL |                      NULL |                       220 |                       230 |                       257 |
|                   33 | Гродненский государственный медицинский университет - белор. Гро...                                                            |                      NULL |                      NULL |                       253 |                       247 |                       236 |
|                   34 | Гродненский государственный университет имени Янки Купалы - бело...                                                            |                      NULL |                      NULL |                       262 |                       262 |                       271 |
|                   35 | Институт пограничной службы Республики Беларусь - белор. Iнстыту...                                                            |                      NULL |                      NULL |                       277 |                       246 |                       241 |
|                   36 | Минский государственный лингвистический университет - белор. Мін...                                                            |                      NULL |                      NULL |                       234 |                       261 |                       213 |
|                   37 | Могилёвский государственный университет имени А. А. Кулешова - б...                                                            |                      NULL |                      NULL |                       211 |                       215 |                       216 |
|                   38 | Могилёвский институт Министерства внутренних дел Республики Бела...                                                            |                      NULL |                      NULL |                       267 |                       249 |                       221 |
|                   39 | Мозырский государственный педагогический университет имени И. П....                                                            |                      NULL |                      NULL |                       226 |                       264 |                       239 |
|                   40 | Полесский государственный университет - белор. Палескі дзяржаўны...                                                            |                      NULL |                      NULL |                       238 |                       254 |                       241 |
|                   41 | Полоцкий государственный университет - белор. Полацкі дзяржаўны ...                                                            |                      NULL |                      NULL |                       248 |                       250 |                       213 |
|                   42 | Университет гражданской защиты МЧС Республики Беларусь - белор. ...                                                            |                      NULL |                      NULL |                       253 |                       239 |                       254 |
|                   43 | Белорусский торгово-экономический университет потребительской ко...                                                            |                      NULL |                      NULL |                       239 |                       244 |                       248 |
|                   44 | БИП — Университет права и социально-информационных технологий - ...                                                            |                      NULL |                      NULL |                       244 |                       246 |                       234 |
|                   45 | Институт предпринимательской деятельности - белор. Інстытут прад...                                                            |                      NULL |                      NULL |                       213 |                       251 |                       239 |
|                   46 | Институт парламентаризма и предпринимательства - белор. Інстытут...                                                            |                      NULL |                      NULL |                       250 |                       235 |                       225 |
|                   47 | Институт управления и предпринимательства - белор. Інстытут кіра...                                                            |                      NULL |                      NULL |                       248 |                       258 |                       214 |
|                   48 | Институт современных знаний им. Широкова - белор. Інстытут сучас...                                                            |                      NULL |                      NULL |                       231 |                       245 |                       271 |
|                   49 | Международный гуманитарно-экономический институт - белор. Міжнар...                                                            |                      NULL |                      NULL |                       218 |                       260 |                       227 |
