+----------------------+--------------------------------------------------------------------------------------------------------------------------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
| КодУнивера           | НаименованиеУнивера                                                                                                            | КолСтуд1Курса             | КолСтуд2Курса             | КолСтуд3Курса             | КолСтуд4Курса             | КолСтуд5Курса             |
+----------------------+--------------------------------------------------------------------------------------------------------------------------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
|                    1 | Академия Министерства внутренних дел Республики Беларусь- белор....                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       236 |
|                    2 | Академия управления при Президенте Республики Беларусь - белор. ...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       233 |
|                    3 | Барановичский государственный университет - белор. Баранавіцкі д...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       229 |
|                    4 | Белорусская государственная сельскохозяйственная академия - бело...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       226 |
|                    5 | Белорусский государственный аграрный технический университет - б...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       233 |
|                    6 | Белорусская государственная академия авиации- белор. Беларуская ...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       229 |
|                    7 | Белорусская государственная академия искусств - белор. Беларуска...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       272 |
|                    8 | Белорусская государственная академия музыки- белор. Беларуская д...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       249 |
|                    9 | Белорусская государственная академия связи - белор. Беларуская д...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       249 |
|                   10 | Белорусский государственный медицинский университет - белор. Бел...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       214 |
|                   11 | Белорусский государственный педагогический университет имени Мак...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       242 |
|                   12 | Белорусский государственный технологический университет - белор....                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       226 |
|                   13 | Белорусский государственный университет - белор. Беларускі дзярж...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       259 |
|                   14 | Белорусский государственный университет информатики и радиоэлект...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       257 |
|                   15 | Белорусский государственный университет культуры и искусств - бе...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       228 |
|                   16 | Белорусский государственный университет пищевых и химических тех...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       235 |
|                   17 | Белорусский государственный университет транспорта - белор. Бела...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       263 |
|                   18 | Белорусский государственный университет физической культуры - бе...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       219 |
|                   19 | Белорусский государственный экономический университет - белор. Б...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       228 |
|                   20 | Белорусский национальный технический университет - белор. Белару...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       234 |
|                   21 | Белорусско-Российский университет - белор. Беларуска-Расійскі ўн...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       257 |
|                   22 | Брестский государственный технический университет - белор. Брэсц...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       225 |
|                   23 | Брестский государственный университет имени А. С. Пушкина - бело...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       237 |
|                   24 | Витебская государственная академия ветеринарной медицины - белор...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       212 |
|                   25 | Витебский государственный ордена Дружбы народов медицинский унив...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       225 |
|                   26 | Витебский государственный технологический университет - белор. В...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       253 |
|                   27 | Витебский государственный университет имени П. М. Машерова - бел...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       267 |
|                   28 | Военная академия Республики Беларусь - белор. Ваенная акадэмія Р...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       228 |
|                   29 | Гомельский государственный медицинский университет - белор. Гоме...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       229 |
|                   30 | Гомельский государственный технический университет имени П. О. С...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       252 |
|                   31 | Гомельский государственный университет имени Франциска Скорины -...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       221 |
|                   32 | Гродненский государственный аграрный университет - белор. Гродзе...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       220 |
|                   33 | Гродненский государственный медицинский университет - белор. Гро...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       253 |
|                   34 | Гродненский государственный университет имени Янки Купалы - бело...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       262 |
|                   35 | Институт пограничной службы Республики Беларусь - белор. Iнстыту...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       277 |
|                   36 | Минский государственный лингвистический университет - белор. Мін...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       234 |
|                   37 | Могилёвский государственный университет имени А. А. Кулешова - б...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       211 |
|                   38 | Могилёвский институт Министерства внутренних дел Республики Бела...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       267 |
|                   39 | Мозырский государственный педагогический университет имени И. П....                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       226 |
|                   40 | Полесский государственный университет - белор. Палескі дзяржаўны...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       238 |
|                   41 | Полоцкий государственный университет - белор. Полацкі дзяржаўны ...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       248 |
|                   42 | Университет гражданской защиты МЧС Республики Беларусь - белор. ...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       253 |
|                   43 | Белорусский торгово-экономический университет потребительской ко...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       239 |
|                   44 | БИП — Университет права и социально-информационных технологий - ...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       244 |
|                   45 | Институт предпринимательской деятельности - белор. Інстытут прад...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       213 |
|                   46 | Институт парламентаризма и предпринимательства - белор. Інстытут...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       250 |
|                   47 | Институт управления и предпринимательства - белор. Інстытут кіра...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       248 |
|                   48 | Институт современных знаний им. Широкова - белор. Інстытут сучас...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       231 |
|                   49 | Международный гуманитарно-экономический институт - белор. Міжнар...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       218 |
|                   50 | Международный университет «МИТСО» - белор. Міжнародны універсітэ...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       261 |
|                   51 | Минский инновационный университет- белор. Мінскі інавацыйны ўнів...                                                            |                      NULL |                      NULL |                      NULL |                      NULL |                       249 |
+----------------------+--------------------------------------------------------------------------------------------------------------------------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
51 rows in set, 51 warnings (0.013 sec)
